ticker,latest,momentum,vol_std,avg_vol,score
LT.NS,4004.39990234375,3.163638746857199,0.005593013074131776,1581172.0,8072.339657403372
COALINDIA.NS,386.95001220703125,3.69824964123546,0.007928380170139504,3863637.8,7073.921294147615
POWERGRID.NS,271.29998779296875,2.096185856820735,0.00494229380962177,12239781.2,6920.5259359535785
ICICIBANK.NS,1373.0,3.9836393981648963,0.010835146758358373,10915081.8,5957.607246661882
HCLTECH.NS,1594.5999755859375,4.468026079733249,0.011980248845590104,2129832.6,5433.9994560019995
TCS.NS,3106.0,3.158527375228317,0.013372916460009836,2555013.6,3484.3618822864055
BPCL.NS,371.1499938964844,2.9685064022989653,0.013793244119172512,8701652.0,3438.6697325442638
RELIANCE.NS,1518.9000244140625,1.5239655905478853,0.008347160407904558,8291933.8,2908.1853321270937
WIPRO.NS,244.3699951171875,1.7996217498477776,0.01143489524995003,8720615.2,2514.8999082662112
AXISBANK.NS,1241.5999755859375,1.0663390790343916,0.006835968985765154,5016301.0,2406.2873248443298
INFY.NS,1502.800048828125,2.461314437721667,0.017657398832828235,13502323.8,2288.4743923576852
HDFCBANK.NS,989.5999755859375,0.502711729969293,0.00405193317290313,14967571.8,2049.2606308083286
SBIN.NS,967.8499755859375,0.7390034437613843,0.0075340605019355465,8592571.4,1565.9127073030604
ONGC.NS,247.60000610351562,0.8617877011840265,0.011328628216488593,11552564.4,1237.0015935131141
ITC.NS,408.1499938964844,0.1595077046587423,0.0053306638846572505,19456000.0,502.1210825302943
BHARTIARTL.NS,2100.699951171875,0.2768652011313749,0.02253718018158149,8552898.6,196.07961292491743
ULTRACEMCO.NS,11874.0,-0.30226700251889166,0.00761460399370036,168640.8,-477.6945091554144
TATASTEEL.NS,174.25999450683594,-1.697980308613671,0.013991392084712668,34390379.2,-2105.8245672053226
